"かも知れません","かもしれません","may, might, perhaps, may be, possibly"
"無くなる","なくなる","to be lost (e.g. luggage), to be missing; to be used up, to be run out, to be exhausted, to be consumed, to be reduced to zero, to not occur any more; to disappear (e.g. pain), to be lost (e.g. a dream, confidence)"
"逃げる","にげる","to escape, to run away"
"舞う","まう","to dance (orig. a whirling dance); to flutter about, to revolve"
"す可き","すべき","should do, ought to do"
"寝る","ねる","to sleep (lying down); to go to bed, to lie in bed; to lie down; to sleep (with someone, i.e. have intercourse); to lie flat (e.g. of hair); to lie idle (of funds, stock, etc.); to ferment (of soy sauce, miso, etc.)"
"壊れる","こわれる","to be broken, to break; to fall through, to come to nothing"
"良い","よい","good, excellent, fine, nice, pleasant, agreeable; sufficient, enough, ready, prepared; profitable (deal, business offer, etc.), beneficial; OK, all right, fine, no problem; easy to ..."
"極楽","ごくらく","Sukhavati (Amitabha's Pure Land); paradise, heaven on earth"
"小便","しょうべん","urine, piss, pee, urination; breaking a contract"
"眠る","ねむる","to sleep; to die, to rest (in peace), to lie (buried), to sleep (in the grave); to lie idle (e.g. of resources), to lie unused, to lie untapped, to lie untouched; to close one's eyes"
"気にしない","きにしない","not caring, not giving a damn"
"履歴書","りれきしょ","personal history, curriculum vitae, resume"
"褒める","ほめる","to praise, to commend, to compliment, to speak well of, to speak highly of"
"積もる","つもる","to pile up, to accumulate; to estimate"
"急に","きゅうに","swiftly, rapidly, quickly, immediately, hastily, hurriedly; suddenly, abruptly, unexpectedly; sharply (of a slope, bend, etc.), steeply"
"守る","まもる","to protect, to guard, to defend; to keep (i.e. a promise), to abide (by the rules), to observe, to obey, to follow"
"与える","あたえる","to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award; to provide, to afford, to offer, to supply; to assign; to cause; to pass (a variable to a function)"
"所為","せい","consequence, outcome, result, blame"
"正義","せいぎ","justice, right, righteousness; correct meaning, correct explanation"
"臭い","くさい","stinking, smelly; suspicious, fishy; clumsy, unskilled; smelling of; looking like, appearing like, smacking of, -ish"
"如何","いかが","how, in what way, how about; questionable"
"落とす","おとす","to drop, to lose, to let fall, to shed (light), to cast (one's gaze), to pour in (liquid), to leave behind; to clean off (dirt, makeup, paint, etc.), to remove (e.g. stains or facial hair), to lose, to spend money at a certain place, to omit, to leave out, to secretly let escape; to lose (a match), to reject (an applicant), to fail (a course), to defeat (in an election); to lower (e.g. shoulders or voice), to lessen (e.g. production or body weight), to worsen (quality), to reduce (e.g. rank or popularity), to speak badly of, to make light of, to fall into straitened circumstances; to fall into (e.g. a dilemma or sin), to make one's own, to have one's bid accepted, to force surrender, to take (e.g. an enemy camp or castle), to forcefully convince, to press for a confession, to deal with; to download, to copy from a computer to another medium; to make someone swoon (judo); to finish a story (e.g. with the punch line); to finish (a period, e.g. of fasting); to win over, to seduce, to conquer (unwillingness)"
"泥棒","どろぼう","thief, burglar, robber; theft, burglary, robbery"
"乗っ取る","のっとる","to take over, to capture, to seize, to commandeer, to occupy, to usurp; to hijack (vehicle, account, etc.)"
"返却","へんきゃく","return of something, repayment"
"置く","おく","to put, to place; to leave (behind); to establish (an organization, a facility, a position, etc.), to set up; to appoint (someone to a certain position), to hire, to employ; to place (one's trust, one's faith, etc.), to bear (in mind, etc.); to put down a tool (e.g. a pen) hence stopping what one is doing with that tool; to take in (boarders, etc.), to provide lodging in one's house; to separate spatially or temporally; to do something in advance; to leave something in a certain state, to keep something in a certain state"
"蝋燭","ろうそく","candle"
"内容","ないよう","contents, content, substance, matter, detail, import"
"継続","けいぞく","continuation, continuance, going on"
"新規","しんき","new, fresh; new item (e.g. customer, regulation), newly created object; new customer"
"散歩","さんぽ","walk, stroll"
"団体","だんたい","group, party, team; organization, organisation, association, group, body, society"
